"State","NAICS.id","All establishments","Establishments not operated for the entire year","Establishments operated for the entire year","Score","NAICS.display-label","RCPTOT","PAYANN","PAYQTR1","EMP","ADMIN_PCT","IMPUT_PCT"
"AK","44-45",2506,69,2153,16252.25,"Retail trade","10474275","977441","230200","33721","8.0","4.2"
"AK","441",286,22,247,2234.5,"Motor vehicle and parts dealers","1784400","175748","39790","3772","9.7","9.6"
"AK","4411",61,8,50,471.5,"Automobile dealers","1254562","106447","23596","1872","7.1","11.4"
"AK","44111",29,2,27,270,"New car dealers","1106598","95501","21185","1668","5.4","12.8"
"AK","441110",29,2,27,270,"New car dealers","1106598","95501","21185","1668","5.4","12.8"
"AK","44112",32,7,23,201.5,"Used car dealers","147964","10946","2411","204","19.3","0.9"
"AK","441120",32,7,23,201.5,"Used car dealers","147964","10946","2411","204","19.3","0.9"
"AK","4412",86,12,72,662.75,"Other motor vehicle dealers","248615","25252","5556","644","18.4","3.0"
"AK","44121",6,1,5,50,"Recreational vehicle dealers","13026","1313","247","29","4.8","0.0"
"AK","441210",6,1,5,50,"Recreational vehicle dealers","13026","1313","247","29","4.8","0.0"
"AK","44122",80,12,67,612.75,"Motorcycle, boat, and other motor vehicle dealers","235589","23939","5309","615","19.2","3.2"
"AK","441222",30,5,25,208.5,"Boat dealers","70572","7372","1471","189","11.2","1.2"
"AK","441228",50,8,42,404.25,"Motorcycle, ATV, and all other motor vehicle dealers","165017","16567","3838","426","22.6","4.1"
"AK","4413",139,10,125,1100.25,"Automotive parts, accessories, and tire stores","281223","44049","10638","1256","13.6","7.5"
"AK","44131",105,9,92,798,"Automotive parts and accessories stores","170224","26897","6592","832","21.5","6.2"
"AK","441310",105,9,92,798,"Automotive parts and accessories stores","170224","26897","6592","832","21.5","6.2"
"AK","44132",34,1,33,302.25,"Tire dealers","110999","17152","4046","424","1.4","9.7"
"AK","441320",34,1,33,302.25,"Tire dealers","110999","17152","4046","424","1.4","9.7"
"AK","442",102,6,95,697,"Furniture and home furnishings stores","177213","23849","6143","672","12.7","1.7"
"AK","4421",36,3,33,274.75,"Furniture stores","87421","9596","2215","240","6.5","0.3"
"AK","44211",36,3,33,274.75,"Furniture stores","87421","9596","2215","240","6.5","0.3"
"AK","442110",36,3,33,274.75,"Furniture stores","87421","9596","2215","240","6.5","0.3"
"AK","4422",66,3,62,422.25,"Home furnishings stores","89792","14253","3928","432","18.6","3.2"
"AK","44221",32,2,29,213.75,"Floor covering stores","43869","6842","1707","186","12.2","0.5"
"AK","442210",32,2,29,213.75,"Floor covering stores","43869","6842","1707","186","12.2","0.5"
